individuals,mean_het
LACM107363,0.003810976
LACM107541,0.005268425
LACM112287,0.0052507
MVZCCGP-CaOr104_I-H10,0.004782634
MVZCCGP-CaOr30_I-F03,0.004812313
MVZCCGP-CaOr33_I-A04,0.004807717
MVZCCGP-CaOr35_I-C04,0.004604849
MVZCCGP-CaOr37_II-A01,0.00434933
MVZCCGP-CaOr45_I-C05,0.0047067
MVZCCGP-CaOr71_II-F01,0.00502496
MVZCCGP-CaOr78_II-H01,0.00486671
MVZCCGP-CaOr81_II-B02,0.00482879
MVZCCGP-CaOr96_I-A10,0.00424829
T05B038,0.00490163
T11B098,0.00518711
T11B111,0.00516428
T1B050,0.00505551
T1B052,0.00502123
T1B054,0.00509387
T1B075,0.0052869
T1B081,0.00500629
T1B082,0.00510731
T1B083,0.00526699
T2B001,0.005180153
T2B029,0.00487444
T2B060,0.005042831
T2B084,0.00516243
T2B085,0.0046404
T2B086,0.00512867
T2B087,0.00504149
T2B088,0.00489245
T2B089,0.005109
T3B024,0.00508167
T3B032,0.00479228
T3B066,0.00499958
T3B091,0.00508366
T3B092,0.0047434
T3B103,0.00517456
T3B109,0.00505561
T4B004,0.005053516
T4B005,0.004990024
T4B006,0.00502995
T4B009,0.0051544
T4B035,0.0051066
T4B057,0.005063685
T4B073,0.00519805
T4B074,0.00495902
T4B096,0.00510565
T4B110,0.00513321
T5B093,0.00500442
T5B095,0.00496674
T6B055,0.005049537
T6B067,0.00522883
T6B107,0.00494597
T7B013,0.00516595
T7B036,0.00512485
T8B041,0.00510259
T8B070,0.00502367
T8B094,0.00507765
T9B090,0.00516874
WFVZ52698,0.005287548
WFVZ53206,0.00522667